concept:name,time:timestamp,case:concept:name
j,1970-04-26 19:48:08+00:00,9
l,1970-04-26 19:48:09+00:00,9
m,1970-04-26 19:48:10+00:00,9
o,1970-04-26 19:48:11+00:00,9
j,1970-04-26 19:48:12+00:00,9
k,1970-04-26 19:48:13+00:00,9
j,1970-04-26 19:48:14+00:00,9
p,1970-04-26 19:48:15+00:00,9
A,1970-04-26 19:48:16+00:00,10
f,1970-04-26 19:48:17+00:00,10
g,1970-04-26 19:48:18+00:00,10
e,1970-04-26 19:48:19+00:00,10
j,1970-04-26 19:48:20+00:00,10
k,1970-04-26 19:48:21+00:00,10
j,1970-04-26 19:48:22+00:00,10
k,1970-04-26 19:48:23+00:00,10
j,1970-04-26 19:48:24+00:00,10
p,1970-04-26 19:48:25+00:00,10
A,1970-04-26 19:48:26+00:00,11
c,1970-04-26 19:48:27+00:00,11
b,1970-04-26 19:48:28+00:00,11
d,1970-04-26 19:48:29+00:00,11
i,1970-04-26 19:48:30+00:00,11
p,1970-04-26 19:48:31+00:00,11
A,1970-04-26 19:48:32+00:00,12
c,1970-04-26 19:48:33+00:00,12
b,1970-04-26 19:48:34+00:00,12
d,1970-04-26 19:48:35+00:00,12
i,1970-04-26 19:48:36+00:00,12
p,1970-04-26 19:48:37+00:00,12
A,1970-04-26 19:48:38+00:00,13
c,1970-04-26 19:48:39+00:00,13
d,1970-04-26 19:48:40+00:00,13
b,1970-04-26 19:48:41+00:00,13
h,1970-04-26 19:48:42+00:00,13
l,1970-04-26 19:48:43+00:00,13
o,1970-04-26 19:48:44+00:00,13
m,1970-04-26 19:48:45+00:00,13
h,1970-04-26 19:48:46+00:00,13
p,1970-04-26 19:48:47+00:00,13
A,1970-04-26 19:48:48+00:00,14
d,1970-04-26 19:48:49+00:00,14
c,1970-04-26 19:48:50+00:00,14
b,1970-04-26 19:48:51+00:00,14
i,1970-04-26 19:48:52+00:00,14
o,1970-04-26 19:48:53+00:00,14
n,1970-04-26 19:48:54+00:00,14
l,1970-04-26 19:48:55+00:00,14
j,1970-04-26 19:48:56+00:00,14
p,1970-04-26 19:48:57+00:00,14
A,1970-04-26 19:48:58+00:00,15
e,1970-04-26 19:48:59+00:00,15
f,1970-04-26 19:49:00+00:00,15
g,1970-04-26 19:49:01+00:00,15
h,1970-04-26 19:49:02+00:00,15
p,1970-04-26 19:49:03+00:00,15
A,1970-04-26 19:49:04+00:00,16
f,1970-04-26 19:49:05+00:00,16
e,1970-04-26 19:49:06+00:00,16
g,1970-04-26 19:49:07+00:00,16
i,1970-04-26 19:49:08+00:00,16
o,1970-04-26 19:49:09+00:00,16
l,1970-04-26 19:49:10+00:00,16
m,1970-04-26 19:49:11+00:00,16
j,1970-04-26 19:49:12+00:00,16
k,1970-04-26 19:49:13+00:00,16
j,1970-04-26 19:49:14+00:00,16
p,1970-04-26 19:49:15+00:00,16
A,1970-04-26 19:49:16+00:00,17
b,1970-04-26 19:49:17+00:00,17
c,1970-04-26 19:49:18+00:00,17
d,1970-04-26 19:49:19+00:00,17
i,1970-04-26 19:49:20+00:00,17
p,1970-04-26 19:49:21+00:00,17
A,1970-04-26 19:49:22+00:00,18
b,1970-04-26 19:49:23+00:00,18
d,1970-04-26 19:49:24+00:00,18
c,1970-04-26 19:49:25+00:00,18
j,1970-04-26 19:49:26+00:00,18
p,1970-04-26 19:49:27+00:00,18
A,1970-04-26 19:49:28+00:00,19
g,1970-04-26 19:49:29+00:00,19
f,1970-04-26 19:49:30+00:00,19
e,1970-04-26 19:49:31+00:00,19
i,1970-04-26 19:49:32+00:00,19
p,1970-04-26 19:49:33+00:00,19
A,1970-04-26 19:49:34+00:00,20
g,1970-04-26 19:49:35+00:00,20
e,1970-04-26 19:49:36+00:00,20
f,1970-04-26 19:49:37+00:00,20
j,1970-04-26 19:49:38+00:00,20
k,1970-04-26 19:49:39+00:00,20
j,1970-04-26 19:49:40+00:00,20
l,1970-04-26 19:49:41+00:00,20
o,1970-04-26 19:49:42+00:00,20
m,1970-04-26 19:49:43+00:00,20
j,1970-04-26 19:49:44+00:00,20
k,1970-04-26 19:49:45+00:00,20
j,1970-04-26 19:49:46+00:00,20
k,1970-04-26 19:49:47+00:00,20
j,1970-04-26 19:49:48+00:00,20
k,1970-04-26 19:49:49+00:00,20
j,1970-04-26 19:49:50+00:00,20
p,1970-04-26 19:49:51+00:00,20
A,1970-04-26 19:49:52+00:00,21
c,1970-04-26 19:49:53+00:00,21
b,1970-04-26 19:49:54+00:00,21
d,1970-04-26 19:49:55+00:00,21
h,1970-04-26 19:49:56+00:00,21
p,1970-04-26 19:49:57+00:00,21
A,1970-04-26 19:49:58+00:00,22
d,1970-04-26 19:49:59+00:00,22
c,1970-04-26 19:50:00+00:00,22
b,1970-04-26 19:50:01+00:00,22
h,1970-04-26 19:50:02+00:00,22
p,1970-04-26 19:50:03+00:00,22
A,1970-04-26 19:50:04+00:00,23
g,1970-04-26 19:50:05+00:00,23
e,1970-04-26 19:50:06+00:00,23
f,1970-04-26 19:50:07+00:00,23
j,1970-04-26 19:50:08+00:00,23
k,1970-04-26 19:50:09+00:00,23
j,1970-04-26 19:50:10+00:00,23
p,1970-04-26 19:50:11+00:00,23
A,1970-04-26 19:50:12+00:00,24
b,1970-04-26 19:50:13+00:00,24
c,1970-04-26 19:50:14+00:00,24
d,1970-04-26 19:50:15+00:00,24
j,1970-04-26 19:50:16+00:00,24
l,1970-04-26 19:50:17+00:00,24
o,1970-04-26 19:50:18+00:00,24
m,1970-04-26 19:50:19+00:00,24
h,1970-04-26 19:50:20+00:00,24
p,1970-04-26 19:50:21+00:00,24
A,1970-04-26 19:50:22+00:00,25
f,1970-04-26 19:50:23+00:00,25
e,1970-04-26 19:50:24+00:00,25
g,1970-04-26 19:50:25+00:00,25
i,1970-04-26 19:50:26+00:00,25
p,1970-04-26 19:50:27+00:00,25
A,1970-04-26 19:50:28+00:00,26
g,1970-04-26 19:50:29+00:00,26
e,1970-04-26 19:50:30+00:00,26
f,1970-04-26 19:50:31+00:00,26
h,1970-04-26 19:50:32+00:00,26
p,1970-04-26 19:50:33+00:00,26
A,1970-04-26 19:50:34+00:00,27
c,1970-04-26 19:50:35+00:00,27
d,1970-04-26 19:50:36+00:00,27
b,1970-04-26 19:50:37+00:00,27
j,1970-04-26 19:50:38+00:00,27
k,1970-04-26 19:50:39+00:00,27
j,1970-04-26 19:50:40+00:00,27
o,1970-04-26 19:50:41+00:00,27
l,1970-04-26 19:50:42+00:00,27
m,1970-04-26 19:50:43+00:00,27
h,1970-04-26 19:50:44+00:00,27
o,1970-04-26 19:50:45+00:00,27
l,1970-04-26 19:50:46+00:00,27
m,1970-04-26 19:50:47+00:00,27
h,1970-04-26 19:50:48+00:00,27
p,1970-04-26 19:50:49+00:00,27
A,1970-04-26 19:50:50+00:00,28
g,1970-04-26 19:50:51+00:00,28
f,1970-04-26 19:50:52+00:00,28
e,1970-04-26 19:50:53+00:00,28
j,1970-04-26 19:50:54+00:00,28
k,1970-04-26 19:50:55+00:00,28
j,1970-04-26 19:50:56+00:00,28
l,1970-04-26 19:50:57+00:00,28
o,1970-04-26 19:50:58+00:00,28
n,1970-04-26 19:50:59+00:00,28
h,1970-04-26 19:51:00+00:00,28
p,1970-04-26 19:51:01+00:00,28
A,1970-04-26 19:51:02+00:00,29
c,1970-04-26 19:51:03+00:00,29
d,1970-04-26 19:51:04+00:00,29
b,1970-04-26 19:51:05+00:00,29
h,1970-04-26 19:51:06+00:00,29
l,1970-04-26 19:51:07+00:00,29
o,1970-04-26 19:51:08+00:00,29
n,1970-04-26 19:51:09+00:00,29
h,1970-04-26 19:51:10+00:00,29
p,1970-04-26 19:51:11+00:00,29
A,1970-04-26 19:51:12+00:00,30
c,1970-04-26 19:51:13+00:00,30
b,1970-04-26 19:51:14+00:00,30
d,1970-04-26 19:51:15+00:00,30
j,1970-04-26 19:51:16+00:00,30
p,1970-04-26 19:51:17+00:00,30
A,1970-04-26 19:51:18+00:00,31
d,1970-04-26 19:51:19+00:00,31
b,1970-04-26 19:51:20+00:00,31
c,1970-04-26 19:51:21+00:00,31
h,1970-04-26 19:51:22+00:00,31
p,1970-04-26 19:51:23+00:00,31
A,1970-04-26 19:51:24+00:00,32
d,1970-04-26 19:51:25+00:00,32
c,1970-04-26 19:51:26+00:00,32
b,1970-04-26 19:51:27+00:00,32
i,1970-04-26 19:51:28+00:00,32
o,1970-04-26 19:51:29+00:00,32
l,1970-04-26 19:51:30+00:00,32
m,1970-04-26 19:51:31+00:00,32
j,1970-04-26 19:51:32+00:00,32
k,1970-04-26 19:51:33+00:00,32
j,1970-04-26 19:51:34+00:00,32
k,1970-04-26 19:51:35+00:00,32
j,1970-04-26 19:51:36+00:00,32
l,1970-04-26 19:51:37+00:00,32
n,1970-04-26 19:51:38+00:00,32
o,1970-04-26 19:51:39+00:00,32
j,1970-04-26 19:51:40+00:00,32
k,1970-04-26 19:51:41+00:00,32
j,1970-04-26 19:51:42+00:00,32
k,1970-04-26 19:51:43+00:00,32
j,1970-04-26 19:51:44+00:00,32
o,1970-04-26 19:51:45+00:00,32
n,1970-04-26 19:51:46+00:00,32
l,1970-04-26 19:51:47+00:00,32
i,1970-04-26 19:51:48+00:00,32
o,1970-04-26 19:51:49+00:00,32
l,1970-04-26 19:51:50+00:00,32
m,1970-04-26 19:51:51+00:00,32
j,1970-04-26 19:51:52+00:00,32
k,1970-04-26 19:51:53+00:00,32
j,1970-04-26 19:51:54+00:00,32
k,1970-04-26 19:51:55+00:00,32
j,1970-04-26 19:51:56+00:00,32
k,1970-04-26 19:51:57+00:00,32
j,1970-04-26 19:51:58+00:00,32
k,1970-04-26 19:51:59+00:00,32
j,1970-04-26 19:52:00+00:00,32
l,1970-04-26 19:52:01+00:00,32
n,1970-04-26 19:52:02+00:00,32
o,1970-04-26 19:52:03+00:00,32
i,1970-04-26 19:52:04+00:00,32
p,1970-04-26 19:52:05+00:00,32
A,1970-04-26 19:52:06+00:00,33
e,1970-04-26 19:52:07+00:00,33
f,1970-04-26 19:52:08+00:00,33
g,1970-04-26 19:52:09+00:00,33
i,1970-04-26 19:52:10+00:00,33
o,1970-04-26 19:52:11+00:00,33
l,1970-04-26 19:52:12+00:00,33
m,1970-04-26 19:52:13+00:00,33
h,1970-04-26 19:52:14+00:00,33
l,1970-04-26 19:52:15+00:00,33
n,1970-04-26 19:52:16+00:00,33
o,1970-04-26 19:52:17+00:00,33
j,1970-04-26 19:52:18+00:00,33
k,1970-04-26 19:52:19+00:00,33
j,1970-04-26 19:52:20+00:00,33
p,1970-04-26 19:52:21+00:00,33
A,1970-04-26 19:52:22+00:00,34
f,1970-04-26 19:52:23+00:00,34
e,1970-04-26 19:52:24+00:00,34
g,1970-04-26 19:52:25+00:00,34
i,1970-04-26 19:52:26+00:00,34
p,1970-04-26 19:52:27+00:00,34
A,1970-04-26 19:52:28+00:00,35
d,1970-04-26 19:52:29+00:00,35
c,1970-04-26 19:52:30+00:00,35
b,1970-04-26 19:52:31+00:00,35
i,1970-04-26 19:52:32+00:00,35
l,1970-04-26 19:52:33+00:00,35
o,1970-04-26 19:52:34+00:00,35
m,1970-04-26 19:52:35+00:00,35
h,1970-04-26 19:52:36+00:00,35
l,1970-04-26 19:52:37+00:00,35
m,1970-04-26 19:52:38+00:00,35
o,1970-04-26 19:52:39+00:00,35
h,1970-04-26 19:52:40+00:00,35
o,1970-04-26 19:52:41+00:00,35
l,1970-04-26 19:52:42+00:00,35
n,1970-04-26 19:52:43+00:00,35
i,1970-04-26 19:52:44+00:00,35
p,1970-04-26 19:52:45+00:00,35
A,1970-04-26 19:52:46+00:00,36
d,1970-04-26 19:52:47+00:00,36
b,1970-04-26 19:52:48+00:00,36
c,1970-04-26 19:52:49+00:00,36
j,1970-04-26 19:52:50+00:00,36
k,1970-04-26 19:52:51+00:00,36
j,1970-04-26 19:52:52+00:00,36
k,1970-04-26 19:52:53+00:00,36
j,1970-04-26 19:52:54+00:00,36
l,1970-04-26 19:52:55+00:00,36
o,1970-04-26 19:52:56+00:00,36
n,1970-04-26 19:52:57+00:00,36
i,1970-04-26 19:52:58+00:00,36
p,1970-04-26 19:52:59+00:00,36
A,1970-04-26 19:53:00+00:00,37
b,1970-04-26 19:53:01+00:00,37
d,1970-04-26 19:53:02+00:00,37
c,1970-04-26 19:53:03+00:00,37
i,1970-04-26 19:53:04+00:00,37
p,1970-04-26 19:53:05+00:00,37
A,1970-04-26 19:53:06+00:00,38
f,1970-04-26 19:53:07+00:00,38
e,1970-04-26 19:53:08+00:00,38
g,1970-04-26 19:53:09+00:00,38
i,1970-04-26 19:53:10+00:00,38
p,1970-04-26 19:53:11+00:00,38
A,1970-04-26 19:53:12+00:00,39
f,1970-04-26 19:53:13+00:00,39
g,1970-04-26 19:53:14+00:00,39
e,1970-04-26 19:53:15+00:00,39
h,1970-04-26 19:53:16+00:00,39
o,1970-04-26 19:53:17+00:00,39
l,1970-04-26 19:53:18+00:00,39
n,1970-04-26 19:53:19+00:00,39
i,1970-04-26 19:53:20+00:00,39
l,1970-04-26 19:53:21+00:00,39
n,1970-04-26 19:53:22+00:00,39
o,1970-04-26 19:53:23+00:00,39
i,1970-04-26 19:53:24+00:00,39
p,1970-04-26 19:53:25+00:00,39
A,1970-04-26 19:53:26+00:00,40
c,1970-04-26 19:53:27+00:00,40
b,1970-04-26 19:53:28+00:00,40
d,1970-04-26 19:53:29+00:00,40
j,1970-04-26 19:53:30+00:00,40
m,1970-04-26 19:53:31+00:00,40
o,1970-04-26 19:53:32+00:00,40
l,1970-04-26 19:53:33+00:00,40
j,1970-04-26 19:53:34+00:00,40
k,1970-04-26 19:53:35+00:00,40
j,1970-04-26 19:53:36+00:00,40
o,1970-04-26 19:53:37+00:00,40
l,1970-04-26 19:53:38+00:00,40
n,1970-04-26 19:53:39+00:00,40
j,1970-04-26 19:53:40+00:00,40
k,1970-04-26 19:53:41+00:00,40
j,1970-04-26 19:53:42+00:00,40
k,1970-04-26 19:53:43+00:00,40
j,1970-04-26 19:53:44+00:00,40
k,1970-04-26 19:53:45+00:00,40
j,1970-04-26 19:53:46+00:00,40
l,1970-04-26 19:53:47+00:00,40
o,1970-04-26 19:53:48+00:00,40
n,1970-04-26 19:53:49+00:00,40
j,1970-04-26 19:53:50+00:00,40
k,1970-04-26 19:53:51+00:00,40
j,1970-04-26 19:53:52+00:00,40
k,1970-04-26 19:53:53+00:00,40
j,1970-04-26 19:53:54+00:00,40
o,1970-04-26 19:53:55+00:00,40
n,1970-04-26 19:53:56+00:00,40
l,1970-04-26 19:53:57+00:00,40
i,1970-04-26 19:53:58+00:00,40
o,1970-04-26 19:53:59+00:00,40
l,1970-04-26 19:54:00+00:00,40
n,1970-04-26 19:54:01+00:00,40
h,1970-04-26 19:54:02+00:00,40
p,1970-04-26 19:54:03+00:00,40
A,1970-04-26 19:54:04+00:00,41
e,1970-04-26 19:54:05+00:00,41
g,1970-04-26 19:54:06+00:00,41
f,1970-04-26 19:54:07+00:00,41
j,1970-04-26 19:54:08+00:00,41
p,1970-04-26 19:54:09+00:00,41
A,1970-04-26 19:54:10+00:00,42
g,1970-04-26 19:54:11+00:00,42
e,1970-04-26 19:54:12+00:00,42
f,1970-04-26 19:54:13+00:00,42
i,1970-04-26 19:54:14+00:00,42
p,1970-04-26 19:54:15+00:00,42
A,1970-04-26 19:54:16+00:00,43
b,1970-04-26 19:54:17+00:00,43
d,1970-04-26 19:54:18+00:00,43
c,1970-04-26 19:54:19+00:00,43
j,1970-04-26 19:54:20+00:00,43
k,1970-04-26 19:54:21+00:00,43
j,1970-04-26 19:54:22+00:00,43
k,1970-04-26 19:54:23+00:00,43
j,1970-04-26 19:54:24+00:00,43
k,1970-04-26 19:54:25+00:00,43
j,1970-04-26 19:54:26+00:00,43
p,1970-04-26 19:54:27+00:00,43
A,1970-04-26 19:54:28+00:00,44
c,1970-04-26 19:54:29+00:00,44
d,1970-04-26 19:54:30+00:00,44
b,1970-04-26 19:54:31+00:00,44
j,1970-04-26 19:54:32+00:00,44
p,1970-04-26 19:54:33+00:00,44
A,1970-04-26 19:54:34+00:00,45
g,1970-04-26 19:54:35+00:00,45
f,1970-04-26 19:54:36+00:00,45
e,1970-04-26 19:54:37+00:00,45
i,1970-04-26 19:54:38+00:00,45
p,1970-04-26 19:54:39+00:00,45
A,1970-04-26 19:54:40+00:00,46
g,1970-04-26 19:54:41+00:00,46
f,1970-04-26 19:54:42+00:00,46
e,1970-04-26 19:54:43+00:00,46
j,1970-04-26 19:54:44+00:00,46
k,1970-04-26 19:54:45+00:00,46
j,1970-04-26 19:54:46+00:00,46
k,1970-04-26 19:54:47+00:00,46
j,1970-04-26 19:54:48+00:00,46
p,1970-04-26 19:54:49+00:00,46
A,1970-04-26 19:54:50+00:00,47
g,1970-04-26 19:54:51+00:00,47
e,1970-04-26 19:54:52+00:00,47
f,1970-04-26 19:54:53+00:00,47
j,1970-04-26 19:54:54+00:00,47
k,1970-04-26 19:54:55+00:00,47
j,1970-04-26 19:54:56+00:00,47
p,1970-04-26 19:54:57+00:00,47
A,1970-04-26 19:54:58+00:00,48
b,1970-04-26 19:54:59+00:00,48
c,1970-04-26 19:55:00+00:00,48
d,1970-04-26 19:55:01+00:00,48
j,1970-04-26 19:55:02+00:00,48
p,1970-04-26 19:55:03+00:00,48
A,1970-04-26 19:55:04+00:00,49
e,1970-04-26 19:55:05+00:00,49
g,1970-04-26 19:55:06+00:00,49
f,1970-04-26 19:55:07+00:00,49
j,1970-04-26 19:55:08+00:00,49
p,1970-04-26 19:55:09+00:00,49
A,1970-04-26 19:55:10+00:00,50
b,1970-04-26 19:55:11+00:00,50
c,1970-04-26 19:55:12+00:00,50
d,1970-04-26 19:55:13+00:00,50
h,1970-04-26 19:55:14+00:00,50
m,1970-04-26 19:55:15+00:00,50
o,1970-04-26 19:55:16+00:00,50
l,1970-04-26 19:55:17+00:00,50
i,1970-04-26 19:55:18+00:00,50
o,1970-04-26 19:55:19+00:00,50
l,1970-04-26 19:55:20+00:00,50
n,1970-04-26 19:55:21+00:00,50
i,1970-04-26 19:55:22+00:00,50
l,1970-04-26 19:55:23+00:00,50
o,1970-04-26 19:55:24+00:00,50
m,1970-04-26 19:55:25+00:00,50
h,1970-04-26 19:55:26+00:00,50
l,1970-04-26 19:55:27+00:00,50
o,1970-04-26 19:55:28+00:00,50
n,1970-04-26 19:55:29+00:00,50
h,1970-04-26 19:55:30+00:00,50
o,1970-04-26 19:55:31+00:00,50
l,1970-04-26 19:55:32+00:00,50
m,1970-04-26 19:55:33+00:00,50
i,1970-04-26 19:55:34+00:00,50
l,1970-04-26 19:55:35+00:00,50
o,1970-04-26 19:55:36+00:00,50
m,1970-04-26 19:55:37+00:00,50
j,1970-04-26 19:55:38+00:00,50
p,1970-04-26 19:55:39+00:00,50
A,1970-04-26 19:55:40+00:00,51
f,1970-04-26 19:55:41+00:00,51
g,1970-04-26 19:55:42+00:00,51
e,1970-04-26 19:55:43+00:00,51
j,1970-04-26 19:55:44+00:00,51
k,1970-04-26 19:55:45+00:00,51
j,1970-04-26 19:55:46+00:00,51
o,1970-04-26 19:55:47+00:00,51
l,1970-04-26 19:55:48+00:00,51
n,1970-04-26 19:55:49+00:00,51
i,1970-04-26 19:55:50+00:00,51
o,1970-04-26 19:55:51+00:00,51
n,1970-04-26 19:55:52+00:00,51
l,1970-04-26 19:55:53+00:00,51
h,1970-04-26 19:55:54+00:00,51
p,1970-04-26 19:55:55+00:00,51
A,1970-04-26 19:55:56+00:00,52
b,1970-04-26 19:55:57+00:00,52
c,1970-04-26 19:55:58+00:00,52
d,1970-04-26 19:55:59+00:00,52
h,1970-04-26 19:56:00+00:00,52
l,1970-04-26 19:56:01+00:00,52
o,1970-04-26 19:56:02+00:00,52
n,1970-04-26 19:56:03+00:00,52
j,1970-04-26 19:56:04+00:00,52
p,1970-04-26 19:56:05+00:00,52
A,1970-04-26 19:56:06+00:00,53
f,1970-04-26 19:56:07+00:00,53
e,1970-04-26 19:56:08+00:00,53
g,1970-04-26 19:56:09+00:00,53
j,1970-04-26 19:56:10+00:00,53
l,1970-04-26 19:56:11+00:00,53
m,1970-04-26 19:56:12+00:00,53
o,1970-04-26 19:56:13+00:00,53
j,1970-04-26 19:56:14+00:00,53
k,1970-04-26 19:56:15+00:00,53
j,1970-04-26 19:56:16+00:00,53
k,1970-04-26 19:56:17+00:00,53
j,1970-04-26 19:56:18+00:00,53
k,1970-04-26 19:56:19+00:00,53
j,1970-04-26 19:56:20+00:00,53
k,1970-04-26 19:56:21+00:00,53
j,1970-04-26 19:56:22+00:00,53
k,1970-04-26 19:56:23+00:00,53
j,1970-04-26 19:56:24+00:00,53
k,1970-04-26 19:56:25+00:00,53
j,1970-04-26 19:56:26+00:00,53
k,1970-04-26 19:56:27+00:00,53
j,1970-04-26 19:56:28+00:00,53
o,1970-04-26 19:56:29+00:00,53
n,1970-04-26 19:56:30+00:00,53
l,1970-04-26 19:56:31+00:00,53
j,1970-04-26 19:56:32+00:00,53
k,1970-04-26 19:56:33+00:00,53
j,1970-04-26 19:56:34+00:00,53
k,1970-04-26 19:56:35+00:00,53
j,1970-04-26 19:56:36+00:00,53
k,1970-04-26 19:56:37+00:00,53
j,1970-04-26 19:56:38+00:00,53
k,1970-04-26 19:56:39+00:00,53
j,1970-04-26 19:56:40+00:00,53
p,1970-04-26 19:56:41+00:00,53
A,1970-04-26 19:56:42+00:00,54
e,1970-04-26 19:56:43+00:00,54
g,1970-04-26 19:56:44+00:00,54
f,1970-04-26 19:56:45+00:00,54
h,1970-04-26 19:56:46+00:00,54
o,1970-04-26 19:56:47+00:00,54
l,1970-04-26 19:56:48+00:00,54
n,1970-04-26 19:56:49+00:00,54
j,1970-04-26 19:56:50+00:00,54
p,1970-04-26 19:56:51+00:00,54
A,1970-04-26 19:56:52+00:00,55
e,1970-04-26 19:56:53+00:00,55
g,1970-04-26 19:56:54+00:00,55
f,1970-04-26 19:56:55+00:00,55
j,1970-04-26 19:56:56+00:00,55
k,1970-04-26 19:56:57+00:00,55
j,1970-04-26 19:56:58+00:00,55
k,1970-04-26 19:56:59+00:00,55
j,1970-04-26 19:57:00+00:00,55
k,1970-04-26 19:57:01+00:00,55
j,1970-04-26 19:57:02+00:00,55
k,1970-04-26 19:57:03+00:00,55
j,1970-04-26 19:57:04+00:00,55
k,1970-04-26 19:57:05+00:00,55
j,1970-04-26 19:57:06+00:00,55
p,1970-04-26 19:57:07+00:00,55
A,1970-04-26 19:57:08+00:00,56
f,1970-04-26 19:57:09+00:00,56
g,1970-04-26 19:57:10+00:00,56
e,1970-04-26 19:57:11+00:00,56
i,1970-04-26 19:57:12+00:00,56
o,1970-04-26 19:57:13+00:00,56
l,1970-04-26 19:57:14+00:00,56
m,1970-04-26 19:57:15+00:00,56
i,1970-04-26 19:57:16+00:00,56
p,1970-04-26 19:57:17+00:00,56
A,1970-04-26 19:57:18+00:00,57
d,1970-04-26 19:57:19+00:00,57
b,1970-04-26 19:57:20+00:00,57
c,1970-04-26 19:57:21+00:00,57
j,1970-04-26 19:57:22+00:00,57
m,1970-04-26 19:57:23+00:00,57
o,1970-04-26 19:57:24+00:00,57
l,1970-04-26 19:57:25+00:00,57
h,1970-04-26 19:57:26+00:00,57
p,1970-04-26 19:57:27+00:00,57
A,1970-04-26 19:57:28+00:00,58
e,1970-04-26 19:57:29+00:00,58
f,1970-04-26 19:57:30+00:00,58
g,1970-04-26 19:57:31+00:00,58
i,1970-04-26 19:57:32+00:00,58
l,1970-04-26 19:57:33+00:00,58
n,1970-04-26 19:57:34+00:00,58
o,1970-04-26 19:57:35+00:00,58
j,1970-04-26 19:57:36+00:00,58
o,1970-04-26 19:57:37+00:00,58
l,1970-04-26 19:57:38+00:00,58
m,1970-04-26 19:57:39+00:00,58
i,1970-04-26 19:57:40+00:00,58
l,1970-04-26 19:57:41+00:00,58
o,1970-04-26 19:57:42+00:00,58
m,1970-04-26 19:57:43+00:00,58
